id,game_id,name,storyline,first_release_date,follow_count,hype_count,critic_rating_value,critic_rating_count,user_rating_value,user_rating_count
168642,130306,"""Hello, world.""","Tremendous progress has been made in technical advances. Various networks have taken strongholds with each new generation. Though not nearly advanced as humans, two-legged robots are utilized in many practical areas throughout the world. Amid worldwide peace, the human race remains unchanged.

Kazuki Tomonaga is a robot made by an entity called ""HIKARI"" for the purpose of ""GLOBAL ILLUMINATION"". He's created with ingenuity as precise as that of a human being. Kazuki is commanded to research the concepts of ""human emotion"". Along the way he meets various girls and has exchanges with them. In their ""exchanges"" his ""curiosity"" gradually turns into ""affection"" and his mission becomes more intense. He gradually starts to build his own philosophy, not knowing he will be forced to make crucially important decisions in the near future.",2002-09-27 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
31113,11809,.hack//Outbreak,"After draining the third Phase, Kite and BlackRose are shocked to find the Lambda server corrupted. Kite encounters Mia, who isn't acting like her normal self. Mia lacks her usual energy and is not in the mood to join Kite. At Mac Anu, Mistral reveals that she is a pregnant housewife and as a result can't continue to aid Kite despite her wish to see the adventure through to the end. As a result of these events happening at around the same time, Kite begins to doubt if he is doing the right thing, much to the dismay of BlackRose. Even so, Kite continues to follow clues wherever he finds them. 
 
At Σ Chatting Snaring Twins, Kite travels the dungeon alone and picks up data left by Harald. At the bottom is Balmung fighting a Data Bug by himself. After Kite helps him defeat the anomaly, the two talk and finally decide to join forces, agreeing that they need each other's power. Balmung leads Kite deeper and into another white room, this one with hundreds of butterflies in it.",2002-12-12 00:00:00.000,6,NULL,NULL,NULL,70.0174,5
134366,6298,Ace Lightning,NULL,2002-10-25 00:00:00.000,1,NULL,NULL,NULL,NULL,NULL
129991,43938,Aces of the Air,NULL,2002-10-26 00:00:00.000,NULL,NULL,36.0000,1,NULL,NULL
181185,71690,Activision Anthology,"Activision Anthology is a collection of classic Atari 2600 titles as well as extra items including new gameplay modes for each game, trivia, originally released patches/updates, 3D views of the cartridges, the original manuals and much more. The game comes with licensed eighties music tracks. It contains 45 games.

The content is quite similar to Activision Hits Remixed (PSP), but unlike the GBA version and Activision Anthology: Remix Edition (PC/Mac), it doesn't include the homebrew titles. The following games are included:

Atlantis
Barnstorming
Beamrider
Boxing
Bridge
Checkers
Chopper Command
Commando
Cosmic Commuter
Crackpots
Decathlon (The Activision Decathlon)
Demon Attack
Dolphin
Dragster
Enduro
Fishing Derby
Freeway
Frostbite
Grand Prix
H.E.R.O.
Ice Hockey
Kabobber (previously unreleased)
Kaboom!
Keystone Kapers
Laser Blast
Moonsweeper
Megamania
Oink!
Pitfall!
Pitfall II: Lost Caverns
Plaque Attack
Pressure Cooker
Private Eye
River Raid
River Raid II
Robot Tank
Seaquest
Skiing
Sky Jinks
Space Shuttle
Spider Fighter
Stampede
Starmaster
Tennis
Thwocker (previously unreleased)",2002-11-19 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
81799,47307,AFL Live 2003,NULL,2002-12-20 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
138443,324,Age of Mythology,"Like many other real-time strategy games, Age of Mythology is based on defeating enemy units and towns, building your own units and towns, and training villagers and fighters. In this way, players are able to defeat and conquer rival towns and civilizations. Players advance their tribe through four ""Ages"": starting in the Archaic Age, the player may upgrade to the Classical Age, the Heroic Age, and finally, the Mythic Age. Each upgrade to a higher Age unlocks new units and technologies for the player, which strengthens their settlement. However, upgrading requires a sum of resources to be paid and a certain prerequisite building to be constructed. 
 
There are three playable cultures in Age of Mythology: the Greeks, Egyptians, and Norse. Each culture has three ""major gods""—important deities such as Ra, Zeus, or Odin. The player chooses their major god before the game begins. Every time a player advances to the next age, a ""minor god"" is selected. Minor gods are slightly less significant historically than their major counterparts. Some minor gods include Bast and Aphrodite. All gods grant the player unique technologies, myth units, and a unique ""god power""—A one-time special ability that can either damage an opponent, or benefit the player that uses it.",2002-10-30 00:00:00.000,135,NULL,75.6667,3,81.9059,357
179484,79477,Air Hockey-e,NULL,2002-09-18 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
125685,46036,Air Ranger Rescue Helicopter,NULL,2002-12-22 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
175862,51344,Airline Tycoon Evolution,NULL,2002-10-17 00:00:00.000,NULL,NULL,NULL,NULL,NULL,NULL
